i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
1120,55.999999999998956,9.75201620870455e-09,0.008117706728213322,6.545334579038703,7.801325212680774e-13,212.76595744642654,1.7042991188612796e-14,1107.0483864642276,55555.555555555555
1130,56.49999999999893,9.75188579066494e-09,0.008117706728213585,6.545334610953598,7.80132525071985e-13,212.76595744642313,1.70429912717143e-14,1107.0483864642276,55555.555555555555
1140,56.9999999999989,9.75175417538027e-09,0.008117706728213851,6.545334642868059,7.801325288758408e-13,212.76595744641972,1.7042991354814675e-14,1107.0483864642276,55555.555555555555
1150,57.49999999999887,9.751621168702396e-09,0.008117706728214116,6.54533467478209,7.801325326796453e-13,212.7659574464163,1.7042991437913933e-14,1107.0483864642276,55555.555555555555
1160,57.99999999999884,9.751490912458675e-09,0.008117706728214378,6.5453347066956935,7.801325364833989e-13,212.7659574464129,1.7042991521012068e-14,1107.0483864642276,55555.555555555555
1170,58.49999999999881,9.7513573233402e-09,0.008117706728214647,6.545334738608862,7.801325402871007e-13,212.7659574464095,1.7042991604109085e-14,1107.0483864642276,55555.555555555555
1180,58.999999999998785,9.751228490853451e-09,0.008117706728214907,6.545334770521605,7.801325440907517e-13,212.76595744640608,1.7042991687204982e-14,1107.0483864642276,55555.555555555555
1190,59.49999999999876,9.751098396405603e-09,0.008117706728215173,6.545334802433914,7.801325478943512e-13,212.76595744640267,1.704299177029976e-14,1107.0483864642276,55555.555555555555
1200,59.99999999999873,9.750964774934888e-09,0.008117706728215438,6.545334834345796,7.801325516978996e-13,212.76595744639926,1.7042991853393416e-14,1107.0483864642276,55555.555555555555
1210,60.4999999999987,9.75083610424399e-09,0.008117706728215704,6.545334866257247,7.801325555013965e-13,212.76595744639584,1.7042991936485953e-14,1107.0483864642276,55555.555555555555
1220,60.99999999999867,9.750699894135132e-09,0.008117706728215972,6.5453348981682655,7.80132559304842e-13,212.76595744639243,1.704299201957737e-14,1107.0483864642276,55555.555555555555
1230,61.49999999999864,9.750572614843133e-09,0.008117706728216233,6.545334930078856,7.801325631082365e-13,212.76595744638902,1.7042992102667663e-14,1107.0483864642276,55555.555555555555
1240,61.999999999998614,9.750437796133234e-09,0.008117706728216498,6.545334961989016,7.801325669115797e-13,212.7659574463856,1.704299218575684e-14,1107.0483864642276,55555.555555555555
1250,62.499999999998586,9.750307701696885e-09,0.008117706728216758,6.54533499389875,7.801325707148721e-13,212.7659574463822,1.7042992268844898e-14,1107.0483864642276,55555.555555555555
