i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
8500,85.00000000000658,0.08770147909232501,0.00666690105264999,134474.74234303448,1.6027923175526067e-08,192.76595600477114,2.6015894704503095e-09,1960.8941677404896,41666.66666648636,0.0036970173843690023
8600,86.00000000000709,0.08771102525544784,0.006666856571598091,146810.46165059047,1.7498206426725784e-08,192.76595587214155,2.8402209878490603e-09,1960.8941677404896,41666.666666469544,0.003696932288529668
8700,87.0000000000076,0.08772054987380462,0.006666805509061099,160278.49238808968,1.9103448855341917e-08,192.76595572734513,3.1007519659577648e-09,1960.8941677404896,41666.66666645121,0.0036968465103870566
8800,88.00000000000811,0.08773006694100538,0.006666748278042434,174982.90843234537,2.0856054932824473e-08,192.76595556926517,3.3851947306789194e-09,1960.8941677404896,41666.666666431156,0.0036967599871774045
8900,89.00000000000863,0.08773959039466413,0.006666685243956779,191037.36441825944,2.2769571052533358e-08,192.76595539668207,3.695746796271441e-09,1960.8941677404896,41666.66666640929,0.0036966726503698533
9000,90.00000000000914,0.08774913422431496,0.0066666167274557694,208565.97956415935,2.4858790872082607e-08,192.76595520826427,4.034807940761307e-09,1960.8941677404896,41666.66666638539,0.003696584425135733
9100,91.00000000000965,0.08775871257962962,0.006666543006905137,227704.30328916764,2.7139870404403197e-08,192.7659550025574,4.4049988603056795e-09,1960.8941677404896,41666.66666635932,0.003696495229768942
9200,92.00000000001016,0.08776833987995263,0.00666646432053272,248600.37023287854,2.9630453764586125e-08,192.7659547779739,4.8091815492106e-09,1960.8941677404896,41666.666666330835,0.00369640497505287
9300,93.00000000001067,0.08777803092586292,0.006666380868264829,271415.8530027485,3.234981056480353e-08,192.76595453277977,5.250481566050045e-09,1960.8941677404896,41666.66666629976,0.00369631356356892
9400,94.00000000001118,0.08778780101378941,0.006666292813265159,296327.32175823214,3.5318986043005076e-08,192.76595426508192,5.732312361391035e-09,1960.8941677404896,41666.66666626582,0.0036962208889412328
9500,95.0000000000117,0.08779766605441602,0.0066662002831886,323527.62059958704,3.8560965113457405e-08,192.76595397281295,6.258401859124781e-09,1960.8941677404896,41666.66666622876,0.0036961268350117252
9600,96.00000000001221,0.08780764269593615,0.00666610337115985,353227.37167092616,4.2100851639429456e-08,192.76595365371475,6.832821501478821e-09,1960.8941677404896,41666.666666188314,0.003696031274938942
9700,97.00000000001272,0.08781774845309057,0.006666002136484255,385656.61891986657,4.5966064351421546e-08,192.765953305322,7.460017987596994e-09,1960.8941677404896,41666.66666614416,0.003695934070213713
